iter	Passed	Remaining
0	4	6233
1	7	5446
2	11	5736
3	15	5614
4	18	5533
5	21	5440
6	24	5316
7	28	5267
8	31	5239
9	34	5175
10	38	5145
11	41	5132
12	44	5106
13	47	5063
14	50	5024
15	54	5030
16	57	4998
17	60	5000
18	63	4981
19	67	4955
20	70	4977
21	73	4952
22	77	4951
23	80	4927
24	83	4902
25	86	4897
26	89	4895
27	92	4872
28	95	4855
29	98	4840
30	102	4832
31	105	4824
32	108	4806
33	111	4804
34	115	4820
35	118	4827
36	122	4843
37	125	4832
38	129	4834
39	132	4825
40	136	4836
41	139	4849
42	142	4840
43	146	4833
44	149	4837
45	152	4826
46	156	4827
47	159	4819
48	162	4813
49	166	4811
50	169	4805
51	172	4799
52	175	4790
53	178	4787
54	182	4791
55	185	4779
56	188	4779
57	192	4776
58	195	4765
59	198	4764
60	202	4772
61	205	4761
62	208	4756
63	211	4752
64	215	4753
65	218	4742
66	221	4735
67	224	4729
68	228	4736
69	231	4730
70	235	4727
71	238	4720
72	241	4713
73	244	4703
74	247	4693
75	250	4685
76	253	4681
77	256	4677
78	259	4673
79	262	4662
80	265	4654
81	268	4644
82	271	4636
83	275	4644
84	278	4635
85	281	4629
86	284	4622
87	288	4623
88	291	4616
89	294	4607
90	297	4605
91	301	4607
92	304	4600
93	307	4593
94	310	4586
95	313	4581
96	316	4577
97	319	4571
98	323	4568
99	326	4565
100	329	4565
101	333	4563
102	336	4555
103	339	4554
104	342	4550
105	346	4548
106	349	4545
107	352	4543
108	355	4537
109	358	4532
110	362	4529
111	365	4522
112	368	4516
113	371	4516
114	375	4514
115	378	4510
116	381	4502
117	384	4497
118	387	4492
119	390	4491
120	396	4518
121	399	4513
122	403	4514
123	407	4519
124	412	4532
125	416	4533
126	419	4527
127	422	4523
128	425	4520
129	428	4515
130	432	4517
131	435	4513
132	439	4511
133	442	4505
134	445	4505
135	449	4503
136	452	4496
137	455	4493
138	458	4486
139	462	4485
140	465	4479
141	468	4474
142	471	4470
143	474	4467
144	478	4464
145	481	4458
146	485	4462
147	488	4459
148	491	4455
149	495	4456
150	499	4455
151	501	4447
152	504	4439
153	508	4438
154	511	4438
155	514	4432
156	518	4429
157	521	4425
158	524	4422
159	528	4421
160	531	4416
161	535	4416
162	538	4410
163	541	4405
164	544	4402
165	547	4397
166	550	4393
167	555	4401
168	558	4397
169	561	4392
170	565	4390
171	569	4392
172	572	4386
173	575	4384
174	578	4377
175	582	4376
176	585	4375
177	589	4371
178	592	4366
179	595	4364
180	598	4359
181	601	4354
182	604	4350
183	607	4344
184	611	4340
185	614	4335
186	617	4334
187	621	4331
188	624	4326
189	627	4324
190	631	4321
191	634	4316
192	637	4311
193	640	4310
194	644	4308
195	647	4306
196	652	4309
197	655	4304
198	658	4304
199	661	4298
200	665	4294
201	668	4290
202	671	4286
203	674	4282
204	677	4278
205	680	4272
206	683	4268
207	687	4265
208	690	4260
209	693	4255
210	696	4253
211	700	4251
212	703	4246
213	706	4244
214	709	4239
215	713	4236
216	716	4232
217	719	4230
218	722	4224
219	726	4221
220	729	4217
221	732	4213
222	736	4214
223	739	4211
224	743	4211
225	746	4207
226	750	4205
227	753	4201
228	756	4198
229	759	4193
230	763	4191
231	766	4186
232	769	4182
233	772	4178
234	776	4176
235	779	4172
236	782	4168
237	785	4163
238	789	4162
239	792	4159
240	796	4156
241	800	4158
242	804	4157
243	807	4152
244	810	4147
245	813	4142
246	816	4137
247	819	4134
248	822	4129
249	825	4125
250	828	4121
251	831	4116
252	835	4112
253	838	4108
254	841	4104
255	844	4102
256	847	4097
257	851	4094
258	854	4089
259	857	4087
260	861	4084
261	864	4080
262	867	4075
263	870	4071
264	873	4068
265	877	4065
266	880	4061
267	883	4056
268	886	4055
269	890	4051
270	893	4047
271	897	4047
272	903	4056
273	907	4056
274	910	4051
275	913	4050
276	917	4047
277	920	4043
278	924	4041
279	927	4040
280	931	4036
281	934	4031
282	937	4030
283	941	4028
284	944	4023
285	948	4021
286	951	4018
287	955	4016
288	958	4012
