iter	R2	RMSE
0	-7.540656117	1.045384354
1	-6.473798413	0.9779149103
2	-5.545446429	0.9151662897
3	-4.758039317	0.8583564818
4	-4.083340353	0.8065011154
5	-3.481064626	0.7572180917
6	-2.958792533	0.7117242267
7	-2.507167155	0.6698978913
8	-2.122001049	0.6320433996
9	-1.779032187	0.5963169669
10	-1.482928414	0.5636538494
11	-1.227112364	0.5338281145
12	-1.001554264	0.5060740429
13	-0.8133810995	0.4816980858
14	-0.6486169749	0.4592934602
15	-0.5002141801	0.438134055
16	-0.3718827237	0.418975735
17	-0.2600538147	0.4015364035
18	-0.166971335	0.3864207795
19	-0.08380213837	0.3723963193
20	-0.01364517328	0.3601416553
21	0.04874870337	0.3488815546
22	0.1014721941	0.3390752875
23	0.1499711944	0.3297973788
24	0.1938185769	0.3211787261
25	0.2332242593	0.3132308724
26	0.2678192492	0.3060832271
27	0.2953085348	0.3002824038
28	0.3197018694	0.2950394004
29	0.3427543576	0.2899974878
30	0.361469055	0.2858389137
31	0.3812986667	0.2813655384
32	0.3956881667	0.2780743478
33	0.4114690004	0.2744195512
34	0.4249016535	0.271269794
35	0.4374414302	0.2682960325
36	0.447380958	0.2659152845
37	0.4557557572	0.2638926534
38	0.4630200751	0.2621255791
39	0.4688472342	0.260699442
40	0.4743816774	0.2593376828
41	0.4820276231	0.2574445355
42	0.4892558534	0.2556419238
43	0.495509107	0.2540721388
44	0.5005287708	0.2528049751
45	0.5037132136	0.2519977912
46	0.5075813682	0.2510138105
47	0.5121730284	0.2498407542
48	0.5164387618	0.2487460073
49	0.5200820504	0.2478071738
50	0.522727009	0.247123364
51	0.5262175379	0.2462180391
52	0.529342153	0.2454047869
53	0.5312497604	0.2449069611
54	0.5340192491	0.2441824048
55	0.5360075453	0.2436608962
56	0.5385585206	0.2429901637
57	0.5403568548	0.2425162097
58	0.5424911942	0.2419524961
59	0.5440283628	0.24154569
60	0.5455895419	0.2411318272
61	0.5468397193	0.2407998969
62	0.5482158773	0.2404339881
63	0.5493950696	0.2401200072
64	0.5502565922	0.2398903517
65	0.5526374257	0.2392545482
66	0.5544472108	0.238770111
67	0.5553634498	0.2385244801
68	0.557813457	0.2378664214
69	0.5593360156	0.2374565516
70	0.5609389125	0.237024289
71	0.5620801331	0.2367160482
72	0.5632502429	0.2363995873
73	0.5644799488	0.2360665512
74	0.5652104622	0.2358684867
75	0.5667718406	0.2354445906
76	0.5679153111	0.2351336669
77	0.5686677429	0.2349288469
78	0.5700232311	0.2345594172
79	0.5711845561	0.2342424421
80	0.5723230259	0.2339312882
81	0.5729149933	0.2337693346
82	0.5736271696	0.2335743448
83	0.5747758079	0.2332595108
84	0.5752945329	0.2331171923
85	0.5763089403	0.2328386261
86	0.5770700078	0.2326294105
87	0.5778203563	0.2324229572
88	0.578857685	0.2321372408
89	0.579869275	0.2318582747
90	0.5804990825	0.231684423
91	0.5817668219	0.2313340808
92	0.5835329733	0.2308451153
93	0.5839760583	0.2307222829
94	0.5848075673	0.2304915947
95	0.5853616199	0.2303377539
96	0.5860099994	0.2301575913
97	0.5867306269	0.2299571877
98	0.5870598998	0.2298655601
99	0.5883074395	0.2295180723
100	0.5888009489	0.2293804656
101	0.5891294024	0.2292888362
102	0.5897263608	0.2291222075
103	0.5902038497	0.228988839
104	0.5908198542	0.2288166665
105	0.5914179139	0.2286493856
106	0.5922743604	0.228409619
107	0.5939364258	0.2279435956
108	0.5943484689	0.2278279161
109	0.5945987151	0.2277576318
110	0.5951710364	0.2275968077
111	0.5956627319	0.227458549
112	0.5964593044	0.2272343839
113	0.5968385728	0.2271275755
114	0.597445964	0.2269564191
115	0.5988869957	0.2265498345
116	0.5992536469	0.2264462679
117	0.6010236166	0.2259456438
118	0.6014410065	0.2258274262
119	0.6018214908	0.2257196074
120	0.6034709689	0.2252515937
121	0.6040734344	0.2250804109
122	0.6047510923	0.2248877075
123	0.6056659867	0.2246272796
124	0.6061814072	0.2244804302
125	0.6065960003	0.2243622381
126	0.6070826572	0.2242234225
127	0.6081523477	0.223917998
128	0.6085447967	0.2238058391
129	0.6087981971	0.2237333894
130	0.6097046749	0.2234740258
131	0.6099604894	0.2234007771
132	0.6103286645	0.2232953134
133	0.6107310991	0.223179979
134	0.6111883926	0.2230488502
135	0.6120763236	0.2227940158
136	0.6126295207	0.2226351018
137	0.6132105511	0.2224680701
138	0.6135670598	0.2223655206
139	0.6137451822	0.2223142662
140	0.6140201485	0.2222351218
141	0.6145454268	0.2220838509
142	0.615380428	0.221843173
143	0.6157693262	0.2217309891
144	0.6162530732	0.2215913653
145	0.6167891237	0.2214365423
146	0.6173348711	0.2212788074
147	0.6179760316	0.2210933519
148	0.6184340462	0.220960776
149	0.6191569421	0.2207513661
150	0.6194300381	0.2206722034
151	0.6196142329	0.2206187946
152	0.619959376	0.2205186826
153	0.6201258051	0.220470392
154	0.6211572247	0.2201708823
155	0.6214132068	0.2200964856
156	0.6220642648	0.2199071535
157	0.6222389553	0.2198563246
158	0.6232608595	0.2195587499
159	0.6236819227	0.2194360205
160	0.6241751439	0.2192921714
161	0.6244225603	0.2192199764
162	0.6245949357	0.2191696639
163	0.6252654044	0.2189738593
164	0.6255362567	0.2188947095
165	0.6257484462	0.2188326825
166	0.6262197845	0.2186948384
167	0.6263541117	0.2186555382
168	0.6267728427	0.2185329843
169	0.6270887058	0.2184404922
170	0.627960201	0.2181850948
171	0.6282643471	0.2180958923
172	0.6284945983	0.2180283381
173	0.6290057281	0.2178783011
174	0.6292888684	0.2177951436
175	0.6298965501	0.2176165619
176	0.6300463669	0.2175725122
177	0.6305441229	0.2174260959
178	0.6308244205	0.2173436022
179	0.6310187111	0.2172864026
180	0.6316398834	0.217103427
181	0.6319682977	0.2170066253
182	0.6326561662	0.2168037327
183	0.6328184987	0.2167558236
184	0.6329943369	0.2167039167
185	0.6330679809	0.2166821736
186	0.6332323763	0.2166336284
187	0.6338321417	0.2164564283
188	0.6339506117	0.2164214093
189	0.6345960202	0.2162305309
190	0.6351884312	0.216055178
191	0.6357134295	0.2158996601
192	0.6360036362	0.2158136454
193	0.6365601881	0.2156485923
194	0.6368100188	0.2155744605
195	0.6373236232	0.2154219795
196	0.6376798093	0.2153161701
197	0.6380133903	0.2152170285
198	0.6380776715	0.2151979187
199	0.6382096898	0.2151586663
200	0.6382719259	0.2151401594
201	0.6384976634	0.2150730195
202	0.6388508856	0.2149679204
203	0.639128093	0.2148854031
204	0.6395181362	0.2147692438
205	0.6395922971	0.2147471507
206	0.6397742075	0.2146929487
207	0.6400509969	0.2146104502
208	0.640182055	0.2145713766
209	0.6402797194	0.2145422544
210	0.6406986088	0.2144173022
211	0.6409050649	0.2143556908
212	0.6410988512	0.2142978443
213	0.6417138715	0.214114153
214	0.6419364668	0.2140476304
215	0.6424945099	0.2138807684
216	0.6426702162	0.2138282031
217	0.6430898174	0.2137026203
218	0.6432118189	0.2136660925
219	0.6435607126	0.2135615978
220	0.644042747	0.2134171428
221	0.6442768357	0.2133469563
222	0.6445830363	0.2132551138
223	0.644863225	0.2131710387
224	0.6449725878	0.2131382136
225	0.6451685629	0.2130793794
226	0.6454568192	0.2129928115
227	0.6456639074	0.2129305981
228	0.6459616493	0.2128411185
229	0.6460119636	0.212825994
230	0.6465092034	0.2126764653
231	0.6467408564	0.2126067672
232	0.6468559676	0.2125721249
233	0.6469035412	0.2125578062
234	0.6470540439	0.2125125014
235	0.6474336974	0.2123981739
236	0.6477158022	0.2123131821
237	0.6481756529	0.2121745663
238	0.6485361141	0.2120658469
239	0.6487571268	0.2119991592
240	0.6490296671	0.2119168949
241	0.649440205	0.2117929167
242	0.6497421618	0.2117016824
243	0.6498014858	0.2116837535
244	0.6498422695	0.2116714269
245	0.6500217826	0.2116171618
246	0.6502011425	0.2115629292
247	0.6503707339	0.2115116374
248	0.6505863101	0.2114464199
249	0.6506875983	0.2114157706
250	0.6507822579	0.211387123
251	0.6508546718	0.2113652053
252	0.6511457843	0.2112770702
253	0.651430098	0.211190958
254	0.6517415447	0.2110965875
255	0.6518542084	0.2110624392
256	0.6522556266	0.2109407248
257	0.6524518736	0.210881195
258	0.6526342427	0.2108258598
259	0.6528860362	0.2107494357
260	0.6529557295	0.2107282776
261	0.6531356978	0.2106736314
262	0.6534054697	0.2105916903
263	0.6535342136	0.2105525741
264	0.6537142249	0.2104978692
265	0.6540301442	0.2104018278
266	0.6542533212	0.2103339542
267	0.6545555485	0.2102420046
268	0.6547808071	0.2101734458
269	0.6548954189	0.2101385544
270	0.6552010638	0.2100454782
271	0.6552991425	0.2100156022
272	0.6554254299	0.2099771272
273	0.6556712929	0.2099022017
274	0.6558455993	0.2098490665
275	0.6560806307	0.2097773988
276	0.6561829108	0.209746203
277	0.6564888874	0.2096528515
278	0.6566060941	0.2096170814
279	0.6568496337	0.2095427366
280	0.6570996348	0.2094663918
281	0.6572179342	0.2094302562
282	0.6573085708	0.2094025661
283	0.6574045186	0.2093732495
284	0.6575001224	0.2093440339
285	0.657707265	0.209280719
286	0.6578899622	0.2092248603
287	0.6581138802	0.2091563781
288	0.6583720353	0.2090773972
