iter	Passed	Remaining
0	5	7831
1	8	6718
2	13	6940
3	17	6712
4	21	6526
5	25	6420
6	29	6275
7	34	6503
8	38	6416
9	42	6377
10	46	6242
11	49	6088
12	52	5960
13	55	5905
14	59	5926
15	62	5798
16	65	5720
17	69	5689
18	73	5702
19	76	5690
20	80	5642
21	83	5598
22	86	5555
23	90	5572
24	93	5539
25	97	5525
26	100	5490
27	104	5471
28	107	5442
29	111	5469
30	114	5433
31	117	5402
32	120	5372
33	124	5357
34	127	5336
35	130	5314
36	134	5316
37	137	5294
38	140	5275
39	144	5259
40	147	5232
41	150	5212
42	153	5186
43	156	5165
44	158	5131
45	162	5130
46	165	5118
47	168	5108
48	172	5103
49	175	5088
50	178	5080
51	182	5083
52	185	5061
53	188	5053
54	191	5037
55	195	5030
56	198	5017
57	201	5003
58	204	4984
59	207	4976
60	211	4978
61	213	4954
62	216	4942
63	219	4931
64	222	4917
65	226	4923
66	230	4927
67	233	4914
68	236	4902
69	239	4897
70	242	4881
71	245	4871
72	248	4858
73	251	4851
74	255	4844
75	258	4831
76	261	4821
77	264	4826
78	268	4819
79	271	4819
80	275	4831
81	279	4833
82	283	4832
83	287	4846
84	290	4836
85	294	4830
86	296	4818
87	300	4824
88	305	4832
89	308	4824
90	312	4827
91	315	4832
92	319	4833
93	323	4827
94	326	4825
95	329	4821
96	333	4819
97	337	4817
98	340	4820
99	344	4817
100	347	4814
101	351	4819
102	355	4817
103	358	4813
104	362	4815
105	365	4809
106	369	4807
107	372	4801
108	378	4823
109	381	4819
110	385	4820
111	388	4812
112	392	4820
113	396	4819
114	399	4813
115	402	4803
116	408	4820
117	412	4828
118	415	4820
119	418	4811
120	422	4807
121	426	4812
122	430	4818
123	434	4815
124	437	4807
125	440	4798
126	443	4794
127	446	4783
128	449	4772
129	452	4765
130	456	4764
131	459	4755
132	462	4752
133	465	4739
134	468	4731
135	471	4721
136	474	4717
137	477	4709
138	480	4704
139	483	4693
140	486	4685
141	489	4673
142	492	4669
143	495	4663
144	499	4660
145	502	4653
146	506	4654
147	509	4649
148	512	4640
149	515	4631
150	517	4623
151	521	4622
152	524	4616
153	528	4617
154	531	4610
155	535	4608
156	538	4601
157	541	4596
158	544	4592
159	547	4585
160	551	4580
161	554	4577
162	557	4568
163	560	4561
164	564	4560
165	567	4553
166	570	4548
167	573	4543
168	576	4537
169	580	4538
170	583	4533
171	586	4527
172	589	4519
173	592	4510
174	595	4502
175	598	4498
176	601	4491
177	604	4487
178	607	4483
179	611	4480
180	615	4482
181	621	4500
182	627	4509
183	631	4513
184	635	4516
185	639	4513
186	645	4531
187	651	4545
188	656	4549
189	659	4542
190	663	4545
191	667	4541
192	670	4534
193	673	4528
194	676	4526
195	680	4521
196	683	4517
197	686	4510
198	689	4503
199	692	4496
200	695	4488
201	698	4484
202	701	4479
203	704	4473
204	707	4465
205	711	4462
206	714	4462
207	717	4455
208	720	4450
209	724	4446
210	727	4440
211	731	4442
212	734	4435
213	737	4429
214	740	4423
215	743	4418
216	747	4415
217	750	4409
218	753	4405
219	757	4401
220	760	4395
221	765	4403
222	769	4400
223	772	4399
224	776	4397
225	779	4392
226	782	4386
227	785	4380
228	788	4370
229	790	4362
230	794	4359
231	797	4353
232	800	4347
233	803	4341
234	806	4336
235	809	4333
236	812	4327
237	815	4322
238	819	4318
239	822	4316
240	826	4314
241	830	4311
242	833	4307
243	836	4301
244	839	4298
245	842	4292
246	846	4289
247	849	4284
248	853	4282
249	856	4277
250	858	4270
251	862	4265
252	865	4260
253	868	4255
254	871	4253
255	875	4249
256	878	4247
257	882	4244
258	885	4240
259	888	4235
260	892	4231
261	895	4227
262	900	4229
263	903	4225
264	906	4221
265	909	4216
266	913	4214
267	916	4210
268	919	4205
269	922	4199
270	925	4194
271	930	4195
272	934	4196
273	937	4190
274	940	4186
275	944	4184
276	947	4180
277	951	4178
278	954	4175
279	958	4170
280	960	4164
281	963	4159
282	967	4156
283	970	4151
284	973	4147
285	976	4142
286	980	4139
287	983	4134
288	986	4131
289	990	4127
290	993	4123
291	996	4118
292	1000	4117
293	1004	4118
294	1008	4115
295	1012	4115
296	1015	4109
297	1019	4107
298	1022	4103
299	1026	4101
300	1029	4096
301	1032	4092
302	1035	4089
303	1039	4085
304	1042	4081
305	1046	4078
306	1049	4074
307	1052	4068
308	1056	4067
309	1059	4063
310	1062	4059
311	1065	4055
312	1069	4051
313	1072	4046
314	1074	4040
315	1077	4034
316	1081	4031
317	1084	4026
318	1087	4023
319	1090	4018
320	1093	4014
321	1097	4010
322	1100	4005
323	1103	4001
324	1106	3997
325	1109	3993
326	1112	3988
327	1116	3984
328	1119	3980
329	1122	3976
330	1125	3972
331	1128	3967
332	1133	3967
333	1139	3973
334	1142	3968
335	1147	3970
336	1155	3984
337	1159	3981
338	1163	3980
339	1167	3978
340	1170	3973
341	1173	3969
342	1176	3966
343	1180	3961
344	1183	3957
345	1186	3952
346	1189	3949
347	1192	3944
348	1196	3941
349	1199	3937
350	1202	3933
351	1206	3929
352	1209	3926
353	1212	3921
354	1216	3919
355	1219	3916
356	1222	3911
357	1225	3907
358	1228	3902
359	1232	3898
360	1235	3894
361	1238	3891
362	1242	3887
363	1245	3884
364	1249	3883
365	1253	3878
366	1257	3877
367	1260	3874
368	1268	3883
369	1272	3883
370	1276	3882
371	1280	3878
372	1283	3874
373	1287	3873
374	1290	3869
375	1294	3865
376	1297	3860
377	1300	3856
378	1303	3852
379	1306	3848
380	1309	3843
381	1312	3839
382	1316	3835
383	1319	3832
384	1322	3827
385	1325	3822
386	1328	3817
387	1331	3813
388	1335	3810
389	1338	3806
390	1341	3801
391	1344	3798
392	1347	3793
393	1350	3788
394	1353	3783
395	1356	3778
396	1360	3775
397	1363	3771
398	1366	3767
399	1369	3763
400	1372	3758
401	1376	3755
402	1379	3751
403	1382	3746
404	1385	3743
405	1388	3737
406	1391	3733
407	1394	3730
408	1397	3725
409	1401	3721
410	1403	3716
411	1407	3712
412	1410	3707
413	1412	3703
414	1415	3698
415	1418	3694
416	1421	3689
417	1425	3687
418	1429	3683
419	1433	3683
420	1441	3692
421	1445	3688
422	1448	3685
423	1451	3681
424	1454	3676
425	1461	3680
426	1467	3683
427	1471	3681
428	1474	3678
429	1478	3675
430	1481	3672
431	1485	3667
432	1488	3663
433	1491	3659
434	1494	3656
435	1498	3652
436	1501	3648
437	1506	3648
438	1510	3647
439	1514	3644
440	1517	3640
441	1520	3636
442	1524	3634
443	1528	3631
444	1532	3629
445	1535	3625
446	1538	3621
447	1541	3617
448	1544	3612
449	1548	3609
450	1551	3604
451	1554	3601
452	1559	3600
453	1562	3597
454	1565	3593
455	1569	3589
456	1573	3586
457	1576	3582
458	1579	3578
459	1582	3574
460	1586	3571
461	1589	3568
462	1592	3564
463	1597	3563
464	1600	3559
465	1603	3555
466	1606	3550
467	1610	3547
468	1613	3544
469	1617	3540
470	1620	3536
471	1624	3533
472	1627	3529
473	1630	3525
474	1633	3521
475	1637	3518
476	1640	3514
477	1644	3511
478	1647	3507
479	1650	3503
480	1654	3501
481	1657	3497
482	1661	3495
483	1665	3491
484	1668	3488
485	1672	3486
486	1676	3483
487	1679	3479
488	1682	3475
489	1685	3471
490	1689	3468
491	1692	3464
492	1695	3460
493	1699	3457
494	1702	3453
495	1705	3449
496	1710	3448
497	1714	3445
498	1717	3441
499	1720	3437
500	1724	3434
501	1727	3431
502	1731	3427
503	1734	3423
504	1736	3418
505	1740	3415
506	1743	3411
507	1746	3407
508	1749	3403
509	1753	3399
510	1756	3395
511	1759	3391
512	1762	3387
513	1766	3384
514	1769	3381
515	1773	3378
516	1777	3375
517	1780	3372
518	1783	3368
519	1787	3365
520	1790	3361
521	1793	3357
522	1797	3354
523	1801	3351
524	1803	3346
525	1806	3342
526	1810	3339
527	1813	3335
528	1817	3332
529	1821	3329
530	1824	3325
531	1827	3321
532	1830	3317
533	1833	3313
534	1836	3309
535	1839	3305
536	1843	3302
537	1846	3298
538	1849	3294
539	1852	3290
540	1855	3286
541	1859	3282
542	1862	3278
543	1865	3274
544	1868	3270
545	1871	3266
546	1874	3262
547	1878	3259
548	1881	3256
549	1885	3252
550	1888	3248
551	1891	3244
552	1894	3240
553	1897	3236
554	1901	3234
555	1905	3232
556	1908	3228
557	1912	3224
558	1915	3221
559	1918	3217
560	1922	3214
561	1925	3210
562	1929	3207
563	1932	3203
564	1935	3199
565	1938	3195
566	1941	3191
567	1945	3188
568	1948	3184
569	1951	3180
570	1954	3176
571	1957	3172
572	1960	3168
573	1963	3164
574	1966	3160
575	1970	3157
576	1973	3153
577	1976	3150
578	1980	3146
579	1983	3142
580	1986	3139
581	1990	3135
582	1993	3132
583	1996	3128
584	2000	3125
585	2004	3123
586	2007	3119
587	2012	3117
588	2016	3115
589	2021	3114
590	2026	3113
591	2030	3110
592	2033	3107
593	2038	3106
594	2042	3103
595	2045	3099
596	2049	3096
597	2053	3093
598	2058	3092
599	2061	3089
600	2064	3085
601	2067	3080
602	2071	3077
603	2074	3073
604	2077	3070
605	2081	3067
606	2085	3064
607	2088	3060
608	2091	3057
609	2094	3053
610	2098	3049
611	2102	3046
612	2105	3043
613	2109	3040
614	2112	3036
615	2116	3033
616	2119	3029
617	2123	3026
618	2126	3022
619	2129	3019
620	2132	3015
621	2136	3012
622	2140	3009
623	2143	3006
624	2147	3003
625	2151	3001
626	2155	2997
627	2158	2993
628	2161	2989
629	2164	2986
630	2168	2982
631	2172	2979
632	2175	2976
633	2179	2973
634	2182	2970
635	2185	2966
636	2188	2962
637	2193	2959
638	2196	2955
639	2199	2951
640	2202	2948
641	2205	2944
642	2209	2940
643	2212	2937
644	2216	2934
645	2219	2930
646	2223	2927
647	2225	2922
648	2228	2918
649	2232	2915
650	2235	2911
651	2238	2908
652	2242	2904
653	2245	2901
654	2249	2898
655	2252	2895
656	2256	2891
657	2259	2888
658	2263	2885
659	2266	2881
660	2270	2878
661	2273	2874
662	2277	2871
663	2281	2869
664	2285	2866
665	2288	2862
666	2293	2860
667	2296	2857
668	2300	2853
669	2304	2851
670	2307	2847
671	2310	2844
672	2314	2840
673	2317	2836
674	2320	2833
675	2324	2829
676	2327	2826
677	2331	2822
678	2334	2819
679	2337	2815
680	2341	2812
681	2344	2808
682	2347	2805
683	2351	2802
684	2355	2798
685	2358	2795
686	2362	2792
687	2366	2789
688	2370	2786
689	2373	2782
690	2376	2779
691	2380	2775
692	2383	2771
693	2386	2767
694	2389	2763
695	2392	2760
696	2395	2756
697	2398	2752
698	2401	2748
699	2404	2744
700	2407	2741
701	2411	2737
702	2415	2735
703	2418	2731
704	2422	2727
705	2424	2723
706	2427	2719
707	2431	2716
708	2434	2712
709	2438	2709
710	2441	2705
711	2444	2702
712	2448	2698
713	2451	2695
714	2454	2691
715	2458	2688
716	2461	2685
717	2465	2681
718	2468	2678
719	2472	2674
720	2475	2670
721	2479	2667
722	2482	2664
723	2485	2660
724	2488	2657
725	2492	2653
726	2495	2649
727	2499	2646
728	2503	2644
729	2506	2640
730	2510	2637
731	2513	2633
732	2516	2629
733	2519	2626
734	2523	2623
735	2526	2619
736	2530	2616
737	2533	2612
738	2537	2609
739	2540	2606
740	2544	2602
741	2548	2599
742	2551	2595
743	2554	2592
744	2557	2588
745	2561	2585
746	2564	2581
747	2567	2577
748	2571	2574
749	2574	2571
750	2577	2567
751	2580	2563
752	2583	2559
753	2586	2556
754	2590	2552
755	2593	2548
756	2597	2545
757	2600	2541
758	2603	2538
759	2607	2535
760	2610	2531
761	2613	2527
762	2616	2524
763	2619	2520
764	2623	2516
765	2625	2512
766	2629	2509
767	2633	2506
768	2636	2502
769	2639	2498
770	2642	2494
771	2645	2491
772	2649	2488
773	2652	2484
774	2655	2480
775	2658	2477
776	2663	2474
777	2667	2472
778	2672	2469
779	2678	2469
780	2683	2466
781	2686	2463
782	2689	2459
783	2692	2455
784	2696	2452
785	2701	2450
786	2705	2447
787	2708	2444
788	2712	2440
789	2716	2437
790	2719	2434
791	2723	2430
792	2726	2427
793	2729	2423
794	2733	2420
795	2736	2416
796	2739	2413
797	2742	2409
798	2747	2406
799	2751	2404
800	2755	2401
801	2758	2397
802	2763	2395
803	2766	2391
804	2769	2387
805	2772	2384
806	2776	2380
807	2780	2377
808	2783	2374
809	2786	2370
810	2790	2366
811	2794	2364
812	2797	2360
813	2801	2357
814	2804	2353
815	2807	2349
816	2813	2348
817	2816	2344
818	2819	2340
819	2822	2337
820	2827	2335
821	2831	2332
822	2834	2328
823	2837	2324
824	2841	2321
825	2844	2317
826	2847	2314
827	2851	2310
828	2856	2308
829	2860	2305
830	2864	2302
831	2868	2299
832	2873	2297
833	2876	2293
834	2880	2290
835	2883	2286
836	2886	2283
837	2891	2280
838	2894	2277
839	2898	2273
840	2901	2270
841	2908	2269
842	2911	2265
843	2915	2262
844	2919	2259
845	2923	2256
846	2926	2252
847	2929	2249
848	2932	2245
849	2936	2242
850	2939	2238
851	2942	2234
852	2946	2231
853	2949	2227
854	2953	2224
855	2957	2221
856	2960	2218
857	2964	2214
858	2967	2211
859	2971	2207
860	2974	2204
861	2978	2200
862	2981	2197
863	2985	2194
864	2988	2190
865	2991	2186
866	2994	2183
867	2999	2180
868	3002	2176
869	3005	2172
870	3008	2169
871	3011	2165
872	3015	2162
873	3018	2158
874	3021	2154
875	3024	2150
876	3027	2147
877	3030	2143
878	3033	2139
879	3036	2135
880	3039	2132
881	3042	2128
882	3046	2125
883	3049	2121
884	3052	2117
885	3055	2113
886	3058	2110
887	3063	2107
888	3067	2104
889	3070	2101
890	3074	2097
891	3077	2094
892	3081	2090
893	3084	2087
894	3087	2083
895	3091	2080
896	3094	2077
897	3097	2073
898	3100	2069
899	3104	2066
900	3107	2062
901	3110	2059
902	3113	2055
903	3116	2051
904	3119	2047
905	3123	2044
906	3127	2041
907	3130	2037
908	3133	2033
909	3136	2030
910	3140	2027
911	3144	2023
912	3147	2020
913	3150	2016
914	3153	2012
915	3156	2008
916	3161	2006
917	3165	2003
918	3168	1999
