iter	R2	RMSE
0	-7.545829995	1.045003226
1	-6.478846595	0.9775924058
2	-5.553030292	0.9150853327
3	-4.766592899	0.8584206434
4	-4.091222877	0.8065876375
5	-3.488442778	0.7573355667
6	-2.963846819	0.7117032322
7	-2.511490413	0.6698634011
8	-2.118994027	0.6313174275
9	-1.782730005	0.5963154231
10	-1.486882325	0.5637260763
11	-1.235575868	0.5344846205
12	-1.00895161	0.5066700632
13	-0.8209848297	0.482384862
14	-0.6571496419	0.4601732509
15	-0.508049858	0.4389836616
16	-0.3789707997	0.4197764221
17	-0.2666706566	0.4023206846
18	-0.1682482341	0.3863741594
19	-0.08450623157	0.3722687084
20	-0.01150396929	0.3595210325
21	0.05052103293	0.3483238251
22	0.1036823005	0.3384320564
23	0.1538685129	0.3288209161
24	0.1961517869	0.3204996296
25	0.2320186183	0.3132678687
26	0.262560512	0.30697549
27	0.2948620446	0.3001770966
28	0.3219087027	0.2943639296
29	0.3442420512	0.2894758171
30	0.3629113857	0.2853253958
31	0.3828334711	0.280828829
32	0.3986539812	0.2772060642
33	0.4139301933	0.273662431
34	0.4268894326	0.270619891
35	0.4364554836	0.2683518667
36	0.4464459986	0.2659625596
37	0.4563207794	0.2635796482
38	0.4635864716	0.261812494
39	0.4715484551	0.259862189
40	0.4783178378	0.2581924272
41	0.4838502783	0.2568197124
42	0.4889453383	0.2555489987
43	0.4958359187	0.253820361
44	0.5006403871	0.2526080661
45	0.5050193141	0.2514980564
46	0.5099354368	0.250246007
47	0.5135647922	0.24931764
48	0.516812242	0.2484840219
49	0.5199536985	0.2476749424
50	0.5225061117	0.2470156192
51	0.5251569968	0.2463289911
52	0.5273709694	0.2457540613
53	0.531564784	0.2446612978
54	0.5333503701	0.2441945514
55	0.5362766328	0.2434277007
56	0.5384465427	0.2428574949
57	0.5408059654	0.2422359659
58	0.5427028111	0.2417351322
59	0.5443925597	0.2412881038
60	0.5460779301	0.2408414072
61	0.5471252591	0.2405634015
62	0.5487069508	0.2401429431
63	0.5495309632	0.2399236054
64	0.5506615829	0.2396223275
65	0.5527814509	0.2390564196
66	0.5535874023	0.2388409157
67	0.555853595	0.238233912
