iter	R2	RMSE
131	0.6416171355	0.2137488613
132	0.6422228646	0.2135681486
133	0.6428544756	0.2133795513
134	0.6431231585	0.2132992728
135	0.6433065663	0.2132444559
136	0.6438987603	0.2130673647
137	0.6442320146	0.2129676427
138	0.6446679839	0.2128371141
139	0.6450012118	0.2127372921
140	0.6455568761	0.2125707326
141	0.6460791395	0.212414066
142	0.6467256728	0.212219961
143	0.6472510109	0.2120621111
144	0.647391713	0.2120198139
145	0.6477022886	0.2119264203
146	0.6478761135	0.2118741313
147	0.6484313806	0.2117070123
148	0.6489199276	0.211559865
149	0.6492124977	0.2114716956
150	0.6497128176	0.2113208333
151	0.6499013798	0.2112639478
152	0.6501534731	0.2111878724
153	0.6504971386	0.2110841186
154	0.6508304247	0.2109834496
155	0.6510933414	0.2109040018
156	0.6513728912	0.210819495
157	0.6516195214	0.2107449115
158	0.6518491681	0.2106754403
159	0.6522023392	0.2105685565
160	0.6523537155	0.2105227273
161	0.652574813	0.2104557721
162	0.652849648	0.2103725138
163	0.6529859794	0.2103312015
164	0.6532037575	0.2102651916
165	0.6536793536	0.2101209633
166	0.6539160551	0.2100491448
167	0.6542346262	0.2099524472
168	0.6547429346	0.2097980653
169	0.6549655989	0.2097304026
170	0.6551875003	0.2096629499
171	0.655511558	0.2095644053
172	0.6556726199	0.2095154097
173	0.6559447269	0.2094326079
174	0.6560934611	0.2093873344
175	0.6562764382	0.2093316243
176	0.6566645956	0.2092133947
177	0.6568980034	0.2091422684
178	0.6570671192	0.2090907187
179	0.6575864317	0.2089323429
180	0.6576913644	0.2089003267
181	0.6581110232	0.2087722351
182	0.6582542495	0.2087285004
183	0.6584234687	0.2086768169
184	0.6585513902	0.2086377382
185	0.6587315655	0.208582684
186	0.6589378941	0.2085196207
187	0.6591046468	0.2084686395
188	0.6593668511	0.2083884508
189	0.659476978	0.2083547621
190	0.659628592	0.2083083731
191	0.6598095789	0.2082529835
192	0.6599665699	0.2082049257
193	0.660352908	0.2080866133
