iter	Passed	Remaining
0	3	5834
1	7	5258
2	10	5327
3	14	5364
4	17	5303
5	21	5287
6	30	6522
7	34	6462
8	42	6974
9	47	7053
10	52	7081
11	55	6862
12	60	6880
13	65	6917
14	68	6793
15	73	6771
16	77	6791
17	84	6952
18	88	6924
19	94	6955
20	100	7097
21	106	7140
22	111	7140
23	117	7238
24	123	7291
25	130	7385
26	135	7408
27	139	7332
28	143	7258
29	147	7239
30	151	7161
31	155	7114
32	160	7120
33	164	7102
34	169	7086
35	172	7018
36	177	7010
37	181	6962
38	187	7012
39	193	7068
40	197	7037
41	205	7115
42	211	7149
43	216	7145
44	220	7139
45	225	7120
46	230	7135
47	237	7178
48	241	7160
49	246	7133
50	250	7111
51	255	7118
52	259	7092
53	264	7067
54	268	7058
55	272	7026
56	275	6978
57	280	6961
58	283	6929
59	287	6889
60	290	6858
61	294	6837
62	299	6815
63	302	6780
64	305	6735
65	310	6739
66	313	6704
67	317	6672
68	320	6641
69	323	6614
70	329	6623
71	333	6606
72	336	6582
73	339	6543
74	343	6529
75	349	6543
76	353	6531
77	358	6534
78	361	6503
79	365	6485
80	369	6461
81	372	6430
82	375	6408
83	380	6404
84	385	6417
85	390	6423
86	394	6401
87	398	6386
88	402	6376
89	406	6369
90	410	6349
91	413	6324
92	416	6303
93	420	6283
94	424	6266
95	427	6241
96	430	6223
97	433	6203
98	437	6190
99	440	6166
100	443	6142
101	447	6122
102	450	6107
103	454	6093
104	458	6085
105	461	6067
106	464	6044
107	467	6024
108	471	6011
109	474	5996
110	478	5981
111	482	5969
112	485	5960
113	489	5947
114	494	5948
115	497	5936
116	501	5925
117	504	5908
118	508	5892
119	511	5872
120	515	5867
121	519	5868
122	523	5852
123	526	5838
124	530	5828
125	535	5840
126	539	5827
127	542	5811
128	545	5797
129	549	5791
130	552	5773
131	556	5759
132	559	5745
133	563	5740
134	566	5724
135	569	5708
136	572	5691
137	575	5675
138	579	5670
139	583	5665
140	587	5655
141	590	5644
142	594	5636
143	597	5623
144	600	5611
145	604	5604
146	608	5594
147	612	5589
148	615	5578
149	619	5570
150	623	5565
151	627	5559
152	633	5573
153	637	5571
154	641	5563
155	645	5557
156	650	5556
157	653	5550
158	659	5555
159	662	5547
160	666	5537
161	670	5530
162	674	5529
163	677	5517
164	680	5505
165	684	5496
166	688	5490
167	691	5479
168	696	5477
169	699	5466
170	702	5456
171	706	5447
172	709	5441
173	714	5440
174	719	5442
175	724	5448
176	729	5451
177	733	5443
178	736	5433
179	740	5422
180	743	5410
181	746	5400
182	749	5390
183	754	5388
