iter	R2	RMSE
0	-7.547629135	1.044648162
1	-6.479295894	0.9771867429
2	-5.552674714	0.9146533169
3	-4.765524867	0.8579591963
4	-4.089793017	0.806115496
5	-3.486480091	0.7568330369
6	-2.960330528	0.7110709325
7	-2.506798331	0.6691178328
8	-2.114637636	0.6305956528
9	-1.77197581	0.5948972029
10	-1.47562776	0.5621987568
11	-1.2238766	0.5328470326
12	-0.9988109298	0.5051647832
13	-0.8118472145	0.4809589328
14	-0.6499787027	0.458972197
15	-0.5000842915	0.4376279392
16	-0.375782749	0.4191043212
17	-0.2634458067	0.40162942
18	-0.1646888035	0.3856134373
19	-0.0836710874	0.3719597543
20	-0.009972043442	0.3590888211
21	0.05420857029	0.3474920684
22	0.1081655876	0.3374343743
23	0.156285971	0.3282047364
24	0.2001250251	0.3195643054
25	0.2396407495	0.3115707114
26	0.2727865015	0.3047040135
27	0.2994706059	0.2990614195
28	0.3256939567	0.2934105564
29	0.348246055	0.2884622876
30	0.3671589786	0.2842461037
31	0.3869784783	0.2797596461
32	0.4038096461	0.2758923646
33	0.4179626703	0.2725979771
34	0.4310021101	0.269527161
35	0.4405566754	0.2672546418
36	0.4501617907	0.2649504535
37	0.4580473499	0.2630436857
38	0.467442691	0.2607536424
39	0.4764062711	0.2585499315
40	0.4845085685	0.2565416799
41	0.4891976492	0.2553722204
42	0.4955417598	0.2537814177
43	0.4999329624	0.2526744466
44	0.5043474594	0.2515566933
45	0.5081129598	0.2505993263
46	0.5132482673	0.2492877639
47	0.517695528	0.2481463282
48	0.521575982	0.2471460627
49	0.5239078386	0.2465430274
50	0.5267056692	0.2458175355
51	0.5299734155	0.2449674718
52	0.5328889506	0.2442065337
53	0.5349776265	0.2436599401
54	0.5373005865	0.2430505921
55	0.5388344821	0.242647389
56	0.5403413862	0.2422506274
57	0.5432522628	0.2414823598
58	0.545238395	0.2409567541
59	0.546870398	0.2405240047
60	0.549521633	0.2398193265
61	0.5520336931	0.2391497241
62	0.5535020726	0.2387574504
63	0.5554953729	0.2382239119
64	0.5568381768	0.2378638145
65	0.5579583864	0.2375629922
66	0.5590703289	0.2372640127
67	0.5597207636	0.2370889489
68	0.5607924372	0.2368002267
69	0.5619924376	0.2364765133
70	0.562838525	0.2362480052
71	0.5641795364	0.2358853766
72	0.5648292584	0.2357094818
73	0.5661482628	0.2353519924
74	0.5669612483	0.2351313785
75	0.5685430927	0.2347015307
76	0.5695023485	0.2344404802
77	0.5712839396	0.2339548677
78	0.5721211024	0.2337263318
79	0.5726823989	0.233572979
80	0.5732514492	0.2334174049
81	0.5740780309	0.2331912389
82	0.5750743574	0.232918336
83	0.5758327171	0.2327103999
84	0.5768692723	0.232425884
85	0.5776040728	0.2322239832
86	0.5788515056	0.2318808241
87	0.5794286754	0.2317218772
88	0.5807094645	0.2313687704
