iter	Passed	Remaining
0	5	8750
1	9	7416
2	13	6937
3	18	6728
4	23	7086
5	27	6764
6	31	6638
7	34	6401
8	38	6396
9	42	6311
10	45	6175
11	49	6116
12	52	6009
13	56	5941
14	59	5878
15	62	5808
16	66	5784
17	69	5745
18	73	5697
19	76	5648
20	80	5639
21	83	5605
22	86	5557
23	89	5527
24	93	5495
25	96	5469
26	99	5449
27	103	5411
28	107	5440
29	110	5402
30	114	5437
31	118	5427
32	121	5407
33	125	5392
34	128	5366
35	131	5348
36	134	5332
37	138	5309
38	141	5281
39	144	5277
40	147	5252
41	150	5232
42	153	5209
43	157	5198
44	160	5201
45	163	5179
46	166	5158
47	170	5145
48	173	5141
49	177	5140
50	180	5123
51	183	5107
52	187	5111
53	190	5108
54	195	5135
55	199	5127
56	202	5117
57	205	5106
58	208	5089
59	211	5074
60	214	5061
61	217	5051
62	221	5040
63	224	5024
64	227	5010
65	230	4997
66	233	4992
67	236	4978
68	239	4965
69	243	4960
70	246	4960
71	249	4951
72	253	4944
73	256	4932
74	259	4923
75	262	4912
76	265	4904
77	269	4908
78	272	4900
79	275	4891
80	278	4881
81	281	4870
82	285	4865
83	288	4855
84	291	4847
85	294	4839
86	298	4838
87	301	4828
88	304	4818
89	307	4816
90	311	4814
91	314	4816
92	319	4823
93	322	4818
94	325	4816
95	329	4810
96	332	4805
97	335	4799
98	338	4793
99	342	4786
100	345	4777
101	348	4770
102	352	4772
103	355	4765
104	358	4756
105	361	4748
106	364	4741
107	367	4733
108	370	4725
109	373	4721
110	377	4718
111	380	4712
112	383	4704
113	386	4697
114	390	4696
115	393	4689
116	396	4682
117	399	4675
118	402	4669
119	405	4664
120	409	4664
121	412	4658
122	416	4656
123	419	4653
124	423	4651
125	426	4643
126	429	4636
127	432	4635
128	435	4628
129	438	4621
130	441	4614
131	444	4606
132	447	4598
133	450	4591
134	453	4585
135	457	4580
136	461	4588
137	465	4589
138	468	4582
139	471	4576
140	474	4572
141	477	4567
142	481	4563
143	484	4557
144	487	4551
145	490	4550
146	494	4545
147	497	4540
148	500	4533
149	503	4525
150	506	4521
151	509	4515
152	512	4508
153	515	4502
154	518	4496
155	521	4489
156	524	4483
157	528	4482
158	531	4475
159	534	4472
160	537	4466
161	540	4460
162	544	4458
163	546	4452
164	550	4447
165	553	4448
166	557	4444
167	560	4439
168	563	4437
169	566	4430
170	569	4423
171	572	4417
172	575	4413
173	578	4407
174	582	4404
175	585	4397
176	588	4393
177	591	4386
178	594	4382
179	597	4376
180	600	4372
181	604	4371
182	607	4365
183	610	4360
184	613	4355
185	616	4349
186	619	4344
187	622	4338
188	625	4332
189	628	4327
190	631	4322
191	634	4321
192	637	4315
193	640	4311
194	645	4316
195	648	4311
196	652	4310
197	655	4306
198	658	4301
199	661	4297
200	664	4292
201	668	4289
202	671	4284
203	674	4278
204	677	4274
205	680	4269
206	683	4267
207	686	4263
208	689	4257
209	693	4254
210	696	4249
211	699	4245
212	702	4239
213	705	4238
214	710	4240
215	713	4238
216	716	4233
217	719	4228
218	722	4223
219	726	4220
220	728	4215
221	732	4210
222	735	4207
223	738	4203
224	741	4201
225	745	4196
226	748	4194
227	751	4190
228	754	4184
229	758	4183
230	761	4182
231	765	4178
232	768	4175
233	771	4172
234	774	4167
235	777	4163
236	781	4160
237	784	4156
238	787	4152
239	790	4147
240	793	4143
241	797	4139
242	800	4135
243	802	4130
244	806	4128
245	810	4125
246	813	4124
247	816	4119
248	819	4116
249	823	4112
250	827	4112
251	831	4114
252	835	4115
253	838	4110
254	842	4110
255	845	4107
256	849	4104
257	853	4104
258	856	4101
259	859	4098
260	863	4094
261	866	4090
262	870	4088
263	873	4087
264	876	4083
265	880	4081
266	884	4079
267	887	4077
268	891	4074
269	894	4072
270	898	4071
271	902	4069
272	904	4063
273	907	4059
274	911	4055
275	914	4050
276	917	4046
277	920	4044
278	924	4041
279	927	4038
280	930	4033
281	933	4029
282	936	4025
283	939	4019
284	942	4014
285	946	4013
286	949	4009
287	953	4007
288	956	4005
289	961	4008
290	967	4016
291	971	4014
292	974	4012
293	978	4009
294	981	4006
295	985	4003
296	988	4001
297	992	3999
298	995	3994
299	998	3990
300	1002	3989
301	1005	3986
302	1010	3987
303	1013	3983
304	1016	3979
305	1020	3977
306	1023	3973
307	1026	3968
308	1029	3964
309	1033	3963
310	1036	3959
311	1039	3955
312	1043	3953
313	1047	3952
314	1050	3950
315	1055	3950
316	1058	3946
317	1062	3946
318	1066	3946
319	1070	3943
320	1073	3940
321	1076	3936
322	1080	3932
323	1083	3929
324	1086	3925
325	1089	3921
326	1093	3918
327	1098	3923
328	1102	3920
329	1105	3916
330	1109	3913
331	1112	3912
332	1116	3908
333	1119	3904
334	1122	3900
335	1126	3898
336	1130	3897
337	1133	3894
338	1137	3892
339	1141	3890
340	1145	3888
341	1148	3885
342	1151	3881
343	1155	3880
344	1159	3878
345	1163	3875
346	1166	3872
347	1170	3871
348	1173	3868
349	1177	3867
350	1181	3863
351	1184	3860
352	1188	3858
353	1192	3856
354	1196	3856
355	1200	3852
356	1203	3850
357	1206	3845
358	1209	3841
359	1212	3837
360	1216	3833
361	1219	3830
362	1222	3826
363	1226	3824
364	1229	3821
365	1233	3817
366	1236	3813
367	1240	3812
368	1244	3809
369	1247	3805
370	1250	3802
371	1253	3798
372	1257	3796
373	1260	3792
374	1265	3792
375	1268	3789
376	1272	3787
377	1276	3784
378	1280	3783
379	1284	3781
380	1287	3777
381	1290	3773
382	1293	3769
383	1296	3765
384	1300	3762
385	1303	3759
386	1307	3756
387	1310	3752
388	1313	3748
389	1316	3744
390	1319	3739
391	1323	3736
392	1326	3733
393	1329	3728
394	1332	3724
395	1335	3720
396	1339	3717
397	1343	3715
398	1346	3711
399	1349	3708
400	1353	3706
401	1357	3703
402	1360	3700
403	1363	3696
404	1369	3698
405	1371	3692
406	1374	3687
407	1377	3683
408	1381	3681
409	1384	3678
410	1387	3673
411	1391	3670
412	1394	3667
413	1397	3662
414	1400	3659
415	1403	3654
416	1407	3651
417	1411	3649
418	1414	3645
419	1417	3642
420	1421	3638
421	1424	3635
422	1427	3632
423	1431	3628
424	1434	3625
425	1437	3621
426	1440	3616
427	1443	3612
428	1448	3611
429	1452	3610
430	1455	3607
431	1459	3604
432	1462	3599
433	1465	3595
434	1468	3591
435	1471	3587
436	1476	3588
437	1480	3586
438	1483	3582
439	1487	3578
440	1490	3575
441	1494	3573
442	1500	3575
443	1504	3574
444	1508	3572
445	1512	3570
446	1515	3566
447	1518	3562
448	1521	3558
449	1526	3558
450	1532	3560
451	1535	3557
452	1540	3557
453	1544	3554
454	1548	3552
455	1552	3549
456	1555	3547
457	1559	3543
458	1562	3539
459	1565	3535
460	1568	3532
461	1572	3529
462	1575	3526
463	1579	3522
464	1582	3517
465	1585	3514
466	1588	3510
467	1592	3507
468	1595	3503
469	1598	3500
470	1602	3496
471	1605	3494
472	1609	3490
473	1612	3486
474	1614	3481
475	1618	3478
476	1621	3474
477	1625	3472
478	1629	3469
479	1632	3465
480	1635	3461
481	1639	3458
482	1642	3453
483	1644	3449
484	1648	3446
485	1651	3441
486	1653	3436
487	1656	3431
488	1659	3427
489	1662	3422
490	1665	3419
491	1669	3417
492	1673	3414
493	1676	3411
494	1680	3407
495	1683	3403
496	1686	3400
497	1689	3395
498	1692	3391
499	1695	3387
500	1698	3383
501	1701	3378
502	1704	3375
503	1708	3372
504	1711	3369
505	1715	3366
506	1719	3363
507	1722	3360
508	1726	3358
509	1729	3354
510	1732	3350
511	1736	3346
512	1739	3342
513	1741	3338
514	1744	3333
515	1747	3329
516	1750	3325
517	1753	3321
518	1756	3317
519	1759	3313
520	1763	3310
521	1766	3305
522	1769	3302
523	1772	3298
