iter	R2	RMSE
0	-7.533699621	1.044621703
1	-6.467212691	0.9771688842
2	-5.543593661	0.9147418106
3	-4.745362116	0.857134689
4	-4.07004521	0.8051861288
5	-3.478156418	0.7567283385
6	-2.951805527	0.7108666676
7	-2.49738394	0.6687472732
8	-2.105482183	0.6301658867
9	-1.770029168	0.5951583617
10	-1.484062474	0.563600832
11	-1.227313225	0.5336801091
12	-1.002773303	0.5060649572
13	-0.8153017929	0.4817977714
14	-0.6509123329	0.4594649367
15	-0.5029053195	0.4383854983
16	-0.3734242672	0.4190759391
17	-0.2603426621	0.401452981
18	-0.1627903526	0.3856035988
19	-0.0796855597	0.3715686076
20	-0.006238636497	0.3587078352
21	0.05563862962	0.3475037339
22	0.1106559859	0.3372292694
23	0.1603406499	0.3276739623
24	0.2032224036	0.3191970916
25	0.2394333256	0.3118595261
26	0.2702758123	0.3054708261
27	0.2972245046	0.2997772515
28	0.3247566457	0.2938465038
29	0.3457869722	0.2892344122
30	0.3641462519	0.2851471179
31	0.3802202658	0.2815198706
32	0.3970083963	0.2776808953
33	0.4098189081	0.2747154054
34	0.4238306592	0.2714347464
35	0.4343491924	0.268945681
36	0.4442802168	0.2665743122
37	0.4535800343	0.2643343777
38	0.4613518532	0.2624478102
39	0.4696741324	0.2604124684
40	0.4767066642	0.2586800704
41	0.4815120475	0.2574896064
42	0.4860887187	0.2563506625
43	0.4914683026	0.2550054032
44	0.4965808582	0.2537203086
45	0.4999735275	0.2528639206
46	0.5051117198	0.2515613711
47	0.5087618457	0.250631939
48	0.513336732	0.2494621452
49	0.5173963649	0.2484194883
50	0.5212052065	0.2474372487
51	0.5239432636	0.2467287316
52	0.526260116	0.2461276149
53	0.5300710349	0.2451356504
54	0.5341870638	0.2440597383
55	0.537451836	0.243202956
56	0.5394568586	0.2426752737
57	0.5419135236	0.2420271595
58	0.54349124	0.2416100117
59	0.5459439542	0.2409600807
60	0.5476338871	0.2405112528
61	0.5490284621	0.2401402371
62	0.5501630669	0.239837961
63	0.5514824653	0.2394859732
64	0.5531246561	0.2390471472
65	0.5547491047	0.2386122683
66	0.5554927791	0.2384129155
67	0.5567239144	0.2380825249
68	0.557891237	0.2377688351
69	0.5589506417	0.237483787
70	0.5605165174	0.237061838
71	0.5628790077	0.2364238038
72	0.5646522685	0.2359437683
73	0.5662499685	0.2355104207
74	0.567702027	0.2351158828
75	0.5688062153	0.2348154209
76	0.5702861488	0.2344121105
77	0.5715113209	0.2340777017
78	0.5719388134	0.2339609058
79	0.5728246206	0.2337187073
80	0.573612862	0.233502974
81	0.5743296753	0.2333066168
82	0.5753028648	0.2330397653
83	0.5762421128	0.2327819306
84	0.5773184179	0.2324861206
85	0.5784892777	0.2321638953
86	0.5804867738	0.2316131416
87	0.5818999624	0.231222702
88	0.5826584923	0.2310128611
89	0.5840600675	0.2306246249
90	0.5847135043	0.2304433993
91	0.5851967048	0.2303092958
92	0.5864848464	0.2299514133
93	0.5878700327	0.2295659465
94	0.5886925074	0.2293367634
95	0.5893830484	0.2291441666
96	0.5902852857	0.2288922821
97	0.5908621328	0.2287310939
98	0.5915945328	0.2285262758
99	0.5925318122	0.2282638944
100	0.5932718202	0.2280565238
101	0.5943252408	0.2277610006
102	0.5949606393	0.2275825624
103	0.5961362189	0.2272520565
104	0.596474787	0.2271567813
105	0.5970119363	0.227005542
106	0.5980590484	0.2267104279
107	0.5983011259	0.2266421471
108	0.5986898009	0.2265324736
109	0.5995274133	0.2262959414
110	0.6006816803	0.225969584
111	0.6013890082	0.2257693609
112	0.6018676109	0.2256337823
113	0.6022228441	0.2255330991
114	0.602491802	0.2254568388
115	0.6027332452	0.2253883581
116	0.6035323654	0.2251615545
117	0.6037727594	0.225093282
118	0.6040664156	0.2250098548
119	0.6044827708	0.2248915159
120	0.6058471143	0.2245032972
121	0.6064280752	0.2243377831
122	0.6066282142	0.2242807358
123	0.6075559087	0.2240161174
124	0.6077622241	0.2239572249
125	0.6080356037	0.2238791651
126	0.6084878695	0.223749967
127	0.6086189122	0.2237125183
128	0.6089970062	0.2236044333
129	0.6096608614	0.2234145319
130	0.6101957173	0.2232614144
131	0.6104835696	0.2231789651
132	0.6107352664	0.2231068468
133	0.6112671414	0.2229543728
134	0.6116151503	0.2228545517
135	0.6122913744	0.2226604591
136	0.6125063619	0.222598717
137	0.6129537067	0.2224701896
138	0.6135308036	0.222304273
139	0.6139598948	0.2221808281
140	0.6144638771	0.2220357502
141	0.6149194247	0.2219045333
142	0.615265054	0.2218049257
143	0.6154146159	0.2217618092
144	0.6162359801	0.2215248728
145	0.6167651356	0.2213720946
146	0.6171353165	0.221265153
147	0.6175989375	0.2211311445
148	0.6186154525	0.2208370388
149	0.6190106998	0.220722577
150	0.6197193383	0.22051721
151	0.620124832	0.2203996097
152	0.6204986434	0.2202911423
153	0.6206704662	0.2202412672
154	0.6212424388	0.220075159
155	0.6215779172	0.2199776734
156	0.6223371214	0.219756899
157	0.6228342512	0.2196122148
158	0.6232958595	0.2194777834
159	0.6238537482	0.2193152028
160	0.6240151141	0.2192681549
161	0.6244849166	0.2191311216
162	0.6247782367	0.2190455217
163	0.6249479981	0.2189959647
164	0.6252384881	0.2189111385
165	0.6259309395	0.2187088027
166	0.6262522669	0.2186148464
167	0.6264286535	0.2185632538
168	0.6268245196	0.2184474195
169	0.6270207767	0.21838997
170	0.6272418368	0.2183252419
171	0.6275356409	0.2182391841
172	0.6279460582	0.2181189124
173	0.6281523405	0.2180584369
174	0.6284264087	0.2179780627
175	0.6288116113	0.2178650468
176	0.6291083622	0.217777942
177	0.6296791502	0.2176103015
178	0.6298277425	0.2175666388
179	0.6301871683	0.2174609879
180	0.6308618636	0.2172625268
181	0.6316483029	0.2170309673
182	0.6317999118	0.2169862991
183	0.6320320374	0.2169178906
184	0.6325421015	0.2167674966
185	0.6330657459	0.2166129897
186	0.633179832	0.2165793127
187	0.6335561087	0.2164682029
188	0.6340429973	0.216324346
189	0.6346002327	0.2161595869
190	0.6349502205	0.216056041
191	0.6355360539	0.2158826075
192	0.6357079451	0.2158316934
193	0.6361154441	0.2157109445
194	0.6364351287	0.215616169
195	0.6370158648	0.2154438942
196	0.6372589344	0.215371747
197	0.6374148038	0.2153254695
198	0.6376101364	0.2152674614
199	0.6380363372	0.2151408379
200	0.6385711724	0.2149818338
201	0.6388800702	0.2148899462
202	0.6393189492	0.2147593257
203	0.6397392174	0.2146341696
204	0.6398520583	0.2146005532
205	0.6400355917	0.2145458654
206	0.6403067332	0.2144650473
207	0.640458415	0.2144198229
208	0.6406133858	0.2143736079
209	0.6408576267	0.2143007508
210	0.6411359501	0.2142176968
211	0.6413614694	0.2141503763
212	0.6416334846	0.2140691479
213	0.6418138269	0.2140152777
214	0.6421534477	0.2139137924
215	0.6425291147	0.2138014796
216	0.6426830742	0.2137554335
217	0.6429228923	0.213683689
218	0.6433937743	0.2135427489
219	0.643613232	0.213477031
220	0.6437085527	0.2134484804
221	0.6439865255	0.2133651996
222	0.6442316924	0.2132917205
223	0.6446742743	0.2131590099
