iter	RMSE
0	0.3431590523
1	0.3309016555
2	0.3201789784
3	0.3111888713
4	0.3027124889
5	0.2955148803
6	0.2894001912
7	0.2840892752
8	0.2792520941
9	0.2752349737
10	0.2715830584
11	0.2684778565
12	0.2650762129
13	0.2624332235
14	0.2602551664
15	0.2575397277
16	0.2557665133
17	0.2542925537
18	0.2528294771
19	0.2513101772
20	0.2497515385
21	0.2477107093
22	0.2466987436
23	0.2450131392
24	0.2435355278
25	0.2424667469
26	0.2416194829
27	0.2408994532
28	0.2399092675
29	0.2392276725
30	0.2385018322
31	0.2379472181
32	0.2371137169
33	0.2363628432
34	0.2353459894
35	0.2344584279
36	0.2337401873
37	0.2331482496
38	0.2322842678
39	0.2316169467
40	0.2309503253
41	0.2305226543
42	0.2299169403
43	0.2289394039
44	0.228242962
45	0.2279326587
46	0.2275143511
47	0.2272424505
48	0.2268874552
49	0.2263431264
50	0.2259623245
51	0.2255524977
52	0.225139174
53	0.2248038195
54	0.2245035988
55	0.2240250382
56	0.2237907428
57	0.2233509931
58	0.2231550587
59	0.222865029
60	0.2224557544
61	0.2222266361
62	0.2217261642
63	0.2215843068
64	0.2213385098
65	0.2209700859
66	0.220728607
67	0.2204359258
68	0.2202681582
69	0.2200111009
70	0.2198098853
71	0.2195802018
72	0.2192129413
73	0.2189640521
74	0.2185474952
75	0.2181954833
76	0.2180190788
77	0.2178811883
78	0.2177830328
79	0.2176146101
80	0.2174714988
81	0.2173076227
82	0.2170793599
83	0.2168257838
84	0.2166351418
85	0.216464258
86	0.2162744988
87	0.2160505982
88	0.2157776399
89	0.2156108426
90	0.2152943833
91	0.2151641795
92	0.2150392493
93	0.2149155297
94	0.2148325793
95	0.2147080051
96	0.2145634127
97	0.2144630102
98	0.2143501353
99	0.2142518489
100	0.2141175889
101	0.2140080607
102	0.2139395314
103	0.2136729925
104	0.2134618673
105	0.2132889289
106	0.2131278652
107	0.2129133734
108	0.2126838775
109	0.2125043071
110	0.2122950287
111	0.2121286828
112	0.2118916691
113	0.2117417165
114	0.2116049847
115	0.2115336764
116	0.2114619498
117	0.211339777
118	0.2111573046
119	0.2110533782
120	0.2108615743
121	0.2106839079
122	0.210551731
123	0.2104616241
124	0.2103066374
125	0.2101900339
126	0.2100562819
127	0.20986565
128	0.2096465273
129	0.2094585132
130	0.2093788983
131	0.2092087936
132	0.2090402767
133	0.2089238584
134	0.2087130816
135	0.2086304485
136	0.2085021894
137	0.2084507599
138	0.2082915689
139	0.2081017781
140	0.2080509286
141	0.2079182079
142	0.2078012648
143	0.2076991081
144	0.2075939311
145	0.2074769515
146	0.2072900035
147	0.2072132409
148	0.207128696
149	0.20701755
150	0.2069232011
151	0.2067946782
152	0.2066919821
153	0.2066385333
154	0.2065559321
155	0.2064522455
156	0.2063762081
157	0.2062225822
158	0.206157028
159	0.2060745018
160	0.206054067
161	0.205982502
162	0.2058730567
163	0.2057652507
164	0.2056877863
165	0.2056461973
166	0.2055506177
167	0.2054888884
168	0.2054506678
169	0.2053609956
170	0.2053075184
171	0.2052195508
172	0.2051872488
173	0.2050524167
174	0.2049624726
175	0.2049079669
176	0.2047784328
177	0.2047316967
178	0.2046471315
179	0.2045462889
180	0.2044809101
181	0.2044025207
182	0.2042918942
183	0.2042200462
184	0.2041692827
185	0.2040987849
186	0.2040138668
187	0.2039625838
188	0.203877901
189	0.2037690199
190	0.2037013793
191	0.2036219084
192	0.2034659885
193	0.2033608348
194	0.2033060339
195	0.2032558034
196	0.2031904496
197	0.203164242
198	0.2030955931
199	0.2030686837
200	0.2029431687
201	0.2028834846
202	0.2028055075
203	0.2027386639
204	0.2026326901
205	0.2025691753
206	0.2024485151
207	0.2024056421
208	0.202322139
209	0.2022683441
210	0.202204573
211	0.2021616697
212	0.2020431089
213	0.2019639023
214	0.2019020773
215	0.2018534541
216	0.2017659752
217	0.2016923306
218	0.2016588775
219	0.2015744353
220	0.20152788
221	0.2014694264
222	0.2013637858
223	0.2012829783
224	0.2011943646
225	0.2011162121
226	0.2010659527
227	0.2010335652
228	0.2009345992
229	0.2008849941
230	0.2008480986
231	0.2007590342
232	0.200707629
233	0.200685887
234	0.2006498747
235	0.2006075402
236	0.2005424082
237	0.2005146682
238	0.2004501155
239	0.2004063703
240	0.2003406634
241	0.2002883927
242	0.2002188768
243	0.200188325
244	0.2001006624
245	0.1999680217
246	0.1998746197
247	0.1998256806
248	0.1997984188
249	0.1997133768
250	0.1996586515
251	0.1996237281
252	0.19953515
253	0.1994811639
254	0.1994352659
255	0.1993906183
256	0.1993358339
257	0.1993204
258	0.1992527209
259	0.1991512519
260	0.1990923544
261	0.19904471
262	0.1989855456
263	0.198950607
264	0.1989240808
